0011,MXIZZE,1.48,58.32,26.62
0002,YTSKPH,1.59,60.19,23.80
0006,BZUCFD,1.60,56.86,22.21
0005,OLQQYB,1.65,67.27,24.70
0010,DCVVVO,1.65,58.02,21.31
0003,ESHRGU,1.70,62.12,21.49
0009,FHSYMK,1.71,49.91,17.06
0014,OMUPQZ,1.73,57.40,19.17
0007,KAXCHE,1.75,55.06,17.97
0017,EUVNPU,1.75,58.82,19.20
0019,JFKVCN,1.78,59.96,18.92
0001,JZNYNC,1.80,65.14,20.10
0013,QPPINR,1.80,56.27,17.36
0008,KDNOLJ,1.82,52.26,15.77
0018,UYUVYU,1.82,49.92,15.07
0000,MAASQN,1.84,49.34,14.57
0015,KHWYRI,1.85,66.55,19.44
0004,NTQXOC,1.86,58.17,16.81
0016,ANHHWL,1.86,58.43,16.88
0012,UCKAUV,1.91,56.38,15.45
